Iteration	Posterior	Likelihood	Prior	clado_prob	clado_rates[1]	clado_rates[2]	clado_rates[3]	clado_rates[4]	clado_rates[5]	clado_rates[6]	clado_rates[7]	clado_rates[8]	clado_rates[9]	clado_rates[10]	clado_rates[11]	clado_rates[12]	clado_rates[13]	clado_rates[14]	clado_rates[15]	clado_rates[16]	clado_rates[17]	clado_rates[18]	clado_rates[19]	clado_rates[20]	clado_rates[21]	clado_rates[22]	clado_rates[23]	clado_rates[24]	clado_rates[25]	clado_rates[26]	clado_rates[27]	clado_rates[28]	clado_rates[29]	clado_rates[30]	clado_rates[31]	clado_rates[32]	clado_rates[33]	clado_rates[34]	clado_rates[35]	clado_rates[36]	clado_rates[37]	clado_rates[38]	clado_rates[39]	clado_rates[40]	clado_rates[41]	clado_rates[42]	clado_rates[43]	clado_rates[44]	clado_rates[45]	R_0[1]	R_0[2]	R_0[3]	R_0[4]	R_0[5]	R_0_param[1]	R_0_param[2]	R_0_param[3]	R_0_param[4]	R_0_param[5]	sum_rates[1]	sum_rates[2]	sum_rates[3]	sum_rates[4]	sum_rates[5]
200	-841.6976	-1042.405	200.7075	0.01838845	0.0959173	0.000210486	0.000210486	0.000212124	0.000212124	0.000191871	0.000191871	0.000202451	0.000202451	0.000558512	0.000558512	0.223526	0.000527483	0.000527483	0.000477121	0.000477121	0.00050343	0.00050343	0.000364788	0.000364788	0.000341863	0.000341863	0.14713	0.000311628	0.000311628	0.000328812	0.000328812	0.000464389	0.000464389	0.000435205	0.000435205	0.00043859	0.00043859	0.169419	0.000418591	0.000418591	0.000472019	0.000472019	0.000442355	0.000442355	0.000445796	0.000445796	0.000403232	0.000403232	0.181698	0.83057	2.06536	1.34898	1.7173	1.74551	0.83057	2.06536	1.34898	1.7173	1.74551	0.0975512	0.227659	0.149824	0.172933	0.185225
210	-843.7967	-1043.787	199.99	0.02724338	0.135688	0.000445165	0.000445165	0.000448628	0.000448628	0.000405794	0.000405794	0.000428171	0.000428171	0.000856131	0.000856131	0.229184	0.000808568	0.000808568	0.000731368	0.000731368	0.000771698	0.000771698	0.000496067	0.000496067	0.000464891	0.000464891	0.133829	0.000423775	0.000423775	0.000447144	0.000447144	0.000685904	0.000685904	0.000642799	0.000642799	0.000647798	0.000647798	0.167376	0.000618259	0.000618259	0.00080184	0.00080184	0.000751449	0.000751449	0.000757293	0.000757293	0.000684989	0.000684989	0.206456	1.18565	2.13692	1.23819	1.71203	2.00141	1.18565	2.13692	1.23819	1.71203	2.00141	0.139144	0.23552	0.137493	0.172565	0.212447
220	-840.2976	-1046.086	205.7884	0.0119409	0.103024	0.000145853	0.000145853	0.000146987	0.000146987	0.000132953	0.000132953	0.000140285	0.000140285	0.000373947	0.000373947	0.231984	0.000353172	0.000353172	0.000319452	0.000319452	0.000337068	0.000337068	0.000257385	0.000257385	0.00024121	0.00024121	0.160915	0.000219877	0.000219877	0.000232002	0.000232002	0.000319857	0.000319857	0.000299755	0.000299755	0.000302087	0.000302087	0.180879	0.000288312	0.000288312	0.000303632	0.000303632	0.00028455	0.00028455	0.000286763	0.000286763	0.000259384	0.000259384	0.181172	0.886289	2.12952	1.46574	1.82149	1.7291	0.886289	2.12952	1.46574	1.82149	1.7291	0.104156	0.234751	0.162816	0.183299	0.18344
230	-835.3332	-1048.421	213.088	0.02316791	0.0800546	0.000222421	0.000222421	0.00022415	0.00022415	0.000202749	0.000202749	0.000213929	0.000213929	0.000680935	0.000680935	0.215248	0.000643105	0.000643105	0.000581703	0.000581703	0.00061378	0.00061378	0.000461722	0.000461722	0.000432705	0.000432705	0.147089	0.000394435	0.000394435	0.000416186	0.000416186	0.000662383	0.000662383	0.000620756	0.000620756	0.000625584	0.000625584	0.190866	0.000597058	0.000597058	0.000692265	0.000692265	0.00064876	0.00064876	0.000653806	0.000653806	0.000591383	0.000591383	0.210476	0.696603	1.99861	1.3552	1.94416	2.03186	0.696603	1.99861	1.3552	1.94416	2.03186	0.0817811	0.220288	0.150499	0.195877	0.215649
240	-838.1973	-1044.871	206.6732	0.02045948	0.107758	0.00026366	0.00026366	0.000265711	0.000265711	0.000240341	0.000240341	0.000253595	0.000253595	0.000666037	0.000666037	0.239071	0.000629035	0.000629035	0.000568976	0.000568976	0.000600351	0.000600351	0.000336174	0.000336174	0.000315047	0.000315047	0.121607	0.000287184	0.000287184	0.00030302	0.00030302	0.000578003	0.000578003	0.000541679	0.000541679	0.000545892	0.000545892	0.189123	0.000520999	0.000520999	0.00058352	0.00058352	0.000546849	0.000546849	0.000551102	0.000551102	0.000498485	0.000498485	0.201456	0.935076	2.21367	1.11732	1.92108	1.93941	0.935076	2.21367	1.11732	1.92108	1.93941	0.109805	0.244	0.12409	0.193496	0.205816
250	-843.2301	-1050.82	207.5898	0.02099951	0.128571	0.000323065	0.000323065	0.000325577	0.000325577	0.000294492	0.000294492	0.000310731	0.000310731	0.000685706	0.000685706	0.23967	0.000647611	0.000647611	0.000585779	0.000585779	0.000618081	0.000618081	0.000498964	0.000498964	0.000467607	0.000467607	0.175756	0.000426251	0.000426251	0.000449756	0.000449756	0.000505639	0.000505639	0.000473862	0.000473862	0.000477548	0.000477548	0.161102	0.000455772	0.000455772	0.000546556	0.000546556	0.000512208	0.000512208	0.000516192	0.000516192	0.000466908	0.000466908	0.183741	1.11629	2.22043	1.61573	1.63734	1.76984	1.11629	2.22043	1.61573	1.63734	1.76984	0.131078	0.244744	0.179441	0.164927	0.187825
260	-837.0738	-1041.544	204.4701	0.02126621	0.101852	0.00025925	0.00025925	0.000261266	0.000261266	0.000236321	0.000236321	0.000249353	0.000249353	0.000655884	0.000655884	0.22631	0.000619446	0.000619446	0.000560303	0.000560303	0.0005912	0.0005912	0.000455268	0.000455268	0.000426657	0.000426657	0.15831	0.000388922	0.000388922	0.000410369	0.000410369	0.000538705	0.000538705	0.00050485	0.00050485	0.000508777	0.000508777	0.169438	0.000485577	0.000485577	0.000577734	0.000577734	0.000541427	0.000541427	0.000545638	0.000545638	0.000493542	0.000493542	0.191734	0.884557	2.09723	1.45575	1.72254	1.84734	0.884557	2.09723	1.45575	1.72254	1.84734	0.103865	0.231163	0.161672	0.173514	0.196051
270	-834.7663	-1043.28	208.514	0.02682128	0.0994815	0.000321182	0.000321182	0.00032368	0.00032368	0.000292776	0.000292776	0.00030892	0.00030892	0.000852327	0.000852327	0.231857	0.000804975	0.000804975	0.000728118	0.000728118	0.000768269	0.000768269	0.000532991	0.000532991	0.000499496	0.000499496	0.146117	0.000455319	0.000455319	0.000480427	0.000480427	0.000651623	0.000651623	0.000610672	0.000610672	0.000615422	0.000615422	0.161583	0.000587359	0.000587359	0.000778039	0.000778039	0.000729144	0.000729144	0.000734815	0.000734815	0.000664656	0.000664656	0.203569	0.868898	2.1609	1.35129	1.65206	1.97256	0.868898	2.1609	1.35129	1.65206	1.97256	0.101975	0.238165	0.150053	0.166513	0.209382
280	-837.2207	-1045.881	208.6605	0.02718153	0.123466	0.000404121	0.000404121	0.000407264	0.000407264	0.00036838	0.00036838	0.000388693	0.000388693	0.000739977	0.000739977	0.198554	0.000698868	0.000698868	0.000632142	0.000632142	0.000667	0.000667	0.00051843	0.00051843	0.000485849	0.000485849	0.140189	0.00044288	0.00044288	0.000467301	0.000467301	0.000741702	0.000741702	0.00069509	0.00069509	0.000700496	0.000700496	0.181415	0.000668554	0.000668554	0.000739609	0.000739609	0.000693128	0.000693128	0.000698519	0.000698519	0.000631827	0.000631827	0.190879	1.07879	1.8512	1.29695	1.85551	1.85028	1.07879	1.8512	1.29695	1.85551	1.85028	0.126603	0.20403	0.144018	0.187027	0.196405
290	-831.7053	-1041.626	209.9207	0.01836238	0.111936	0.000245285	0.000245285	0.000247193	0.000247193	0.000223591	0.000223591	0.000235921	0.000235921	0.000572401	0.000572401	0.229416	0.000540601	0.000540601	0.000488986	0.000488986	0.00051595	0.00051595	0.000363236	0.000363236	0.000340409	0.000340409	0.146716	0.000310302	0.000310302	0.000327413	0.000327413	0.000485325	0.000485325	0.000454825	0.000454825	0.000458363	0.000458363	0.177313	0.000437462	0.000437462	0.00051315	0.00051315	0.000480901	0.000480901	0.000484642	0.000484642	0.000438369	0.000438369	0.197817	0.969257	2.11973	1.34515	1.79727	1.90031	0.969257	2.11973	1.34515	1.79727	1.90031	0.11384	0.233652	0.149399	0.180985	0.201651
