"","variable","idx","true","mean","lower","upper","covered","ntips"
"26","R0",44,9.8513472968,10.7261628035846,9.8322604000034,11.4945431936632,TRUE,109
"27","R0",45,7.1944381385,7.27204898385537,6.284430448776,8.05981524131216,TRUE,35
"28","R0",48,8.9928871276,8.78673640052541,8.24923069112353,9.31029085601144,TRUE,201
"29","R0",50,7.7586230467,10.7622506474309,10.0208012729951,11.999172697774,FALSE,18
"30","R0",51,4.3872696914,4.63486332464014,4.0036073441607,5.06060968338812,TRUE,6
"31","R0",53,5.3034190861,5.23166282395944,5.12850057606442,5.31512912990048,TRUE,499
"32","R0",54,5.5185603256,5.38371039922003,5.22071865902968,5.54457617786997,TRUE,499
"33","R0",57,7.6692158093,7.5547730473599,6.98417180081596,7.90585978371226,TRUE,146
"34","R0",59,7.4272819304,7.7205791145713,6.97044827009029,8.60986628727538,TRUE,50
"35","R0",60,9.7135823968,10.110846749409,9.16627657615489,11.6906245946206,TRUE,26
"36","R0",61,6.9138918329,6.9165307645691,6.58048953055007,7.18956610832213,TRUE,308
"37","R0",62,5.9690460446,5.75661225822426,5.64660437267458,5.89238896254874,FALSE,499
"38","R0",64,8.0378654214,7.76732927130621,7.46380920615569,8.02348392936378,FALSE,499
"39","R0",65,4.7748973633,4.86181691662561,4.01352399992108,5.4141111679115,TRUE,5
"40","R0",69,9.8851847795,9.71657329774943,8.68879387382322,10.4582066848383,TRUE,69
"41","R0",71,7.4050189686,7.90971789818965,7.50285978774216,8.37788101383328,FALSE,234
"42","R0",72,4.726656293,4.46324147282953,4.08009782771192,4.70565805008641,FALSE,56
"43","R0",75,7.8585589168,7.76644418556406,7.48815142877473,7.97089697267504,TRUE,499
"44","R0",77,5.75887967,5.63955197079244,5.53824504482581,5.76812358680916,TRUE,499
"45","R0",78,10.5907137637,10.7712531266983,10.0781854693792,11.9947754007555,TRUE,43
"46","R0",79,6.2017286729,6.12888207571254,5.96326016073706,6.27136678352073,TRUE,499
"47","R0",81,8.1004075874,8.95497339407249,7.09259415017443,11.4744511285538,TRUE,8
