"end_parent","start_child_1","start_child_2","posterior_mean_count","posterior_mean_rate","posterior_median_count","from","to"
20,20,20,0.00177304964539007,0.00245035121970706,0,"EA","EA:EA"
21,21,1,0,8.88339316910786e-06,0,"EB","EB:AB"
21,1,21,0,8.88339316910786e-06,0,"EB","AB:EB"
21,21,6,0.049645390070922,0.16008033954727,0,"EB","EB:BB"
21,6,21,0.0833333333333333,0.16008033954727,0,"EB","BB:EB"
21,21,11,0,0.000506730153528628,0,"EB","EB:CB"
21,11,21,0,0.000506730153528628,0,"EB","CB:EB"
21,21,16,0,0.000414983167110519,0,"EB","EB:DB"
21,16,21,0,0.000414983167110519,0,"EB","DB:EB"
21,21,21,0.00177304964539007,0.00155919923035952,0,"EB","EB:EB"
22,22,2,0,7.93203414780293e-06,0,"EC","EC:AC"
22,2,22,0,7.93203414780293e-06,0,"EC","AC:EC"
22,22,7,0,0.000347032895739015,0,"EC","EC:BC"
22,7,22,0,0.000347032895739015,0,"EC","BC:EC"
22,22,12,0.00354609929078014,0.0904730272969374,0,"EC","EC:CC"
22,12,22,0.0354609929078014,0.0904730272969374,0,"EC","CC:EC"
22,22,17,0,0.000358309200399467,0,"EC","EC:DC"
22,17,22,0,0.000358309200399467,0,"EC","DC:EC"
22,22,22,0,0.00140027493874834,0,"EC","EC:EC"
23,23,3,0,1.33347570705726e-05,0,"ED","ED:AD"
23,3,23,0,1.33347570705726e-05,0,"ED","AD:ED"
23,23,8,0,0.000582153663115846,0,"ED","ED:BD"
23,8,23,0.00709219858156028,0.000582153663115846,0,"ED","BD:ED"
23,23,13,0,0.000757443133155792,0,"ED","ED:CD"
23,13,23,0,0.000757443133155792,0,"ED","CD:ED"
23,23,18,0.196808510638298,0.107070858721704,0,"ED","ED:DD"
23,18,23,0.0478723404255319,0.107070858721704,0,"ED","DD:ED"
23,23,23,0.00177304964539007,0.00233444092676431,0,"ED","ED:ED"
24,24,4,0.00177304964539007,1.2273187976032e-05,0,"EE","EE:AE"
24,4,24,0,1.2273187976032e-05,0,"EE","AE:EE"
24,24,9,0.0283687943262411,0.000529253856458056,0,"EE","EE:BE"
24,9,24,0.117021276595745,0.000529253856458056,0,"EE","BE:EE"
24,24,14,0.0106382978723404,0.000706477162849534,0,"EE","EE:CE"
24,14,24,0.171985815602837,0.000706477162849534,0,"EE","CE:EE"
24,24,19,0.0265957446808511,0.000581852947669774,0,"EE","EE:DE"
24,19,24,0.0354609929078014,0.000581852947669774,0,"EE","DE:EE"
24,24,24,22.636524822695,0.250717110519308,26,"EE","EE:EE"
